Station_Name_EN,Station_Name_TH,Line,Latitude,Longitude
Khlong Bang Phai,คลองบางไผ่,MRT Blue Line,13.7223,100.3864
Nakhon Pathom (MRT),นครปฐม,MRT Blue Line,13.8214,100.4234
Khlong Bang Phai (North),คลองบางไผ่เหนือ,MRT Blue Line,13.7198,100.3777
Tao Poon (MRT),เตาปูน,MRT Purple Line,13.8058,100.5290
Bang Son,บางซ่อน,MRT Purple Line,13.8143,100.5238
Wong Sawang,วงศ์สว่าง,MRT Purple Line,13.8275,100.5219
Bang Yai,บางใหญ่,MRT Purple Line,13.8476,100.5165
Khlong Bang Phai (Purple),คลองบางไผ่,MRT Purple Line,13.8611,100.5006
Sai Ma,สายหยุด,MRT Purple Line,13.8693,100.4953
Phak Nimit,พักนิจ,MRT Purple Line,13.8799,100.4882
Nonthaburi Civic Centre,ศูนย์ราชการนนทบุรี,MRT Purple Line,13.8622,100.4964
Muang Thong Thani,เมืองทองธานี,MRT Purple Line,13.9151,100.5512
Sam Yaek Bang Yai,สามแยกบางใหญ่,MRT Purple Line,13.8611,100.5006
Min Buri,มีนบุรี,MRT Purple Line,13.8143,100.5238
Khlong Bang Phai,คลองบางไผ่,MRT Purple Line,13.7223,100.3864
Bang Yai (Center),บางใหญ่ ศูนย์,MRT Purple Line,13.8476,100.5165
Min Buri Market,ตลาดมีนบุรี,MRT Purple Line,13.8155,100.5229
Rat Burana,ราษฎร์บูรณะ,MRT Purple Line,13.8060,100.5290
Pradit Manutham,ประดิษฐ์มนูธรรม,MRT Purple Line,13.7857,100.5761
Sam Chai,สามชัย,MRT Purple Line,13.7833,100.5747
Nonthaburi 1,นนทบุรี 1,MRT Purple Line,13.8684,100.5193
Nonthaburi 2,นนทบุรี 2,MRT Purple Line,13.8762,100.5134
Bang Krasor,บางกระสอ,MRT Purple Line,13.8847,100.5079
Sanam Bin Nam,สนามบินน้ำ,MRT Purple Line,13.8602,100.5069
Pak Kret Bypass,แยกปากเกร็ด,MRT Purple Line,13.9135,100.5497
Yak Nonthaburi,แยกนนทบุรี,MRT Purple Line,13.8585,100.5156
Khlong Bang Phai (West),คลองบางไผ่ฝั่งตะวันตก,MRT Purple Line,13.7220,100.3850
Phahon Yothin (Purple),พหลโยธิน,MRT Purple Line,13.7979,100.5535
Srinagarindra 38,ศรีนครินทร์ 38,MRT Yellow Line,13.7253,100.6492
Si Nut,ศรีนุช,MRT Yellow Line,13.7199,100.6475
Si La Salle,ศรีลาซาล,MRT Yellow Line,13.7152,100.6432
Si Bearing,ศรีแบริ่ง,MRT Yellow Line,13.7013,100.6347
Si Dan,ศรีด่าน,MRT Yellow Line,13.6975,100.6303
Si Thepha,ศรีเทพา,MRT Yellow Line,13.6918,100.6258
Hua Mak (Yellow),หัวหมาก,MRT Yellow Line,13.7272,100.6218
Lam Sali,ลำสาลี,MRT Yellow Line,13.7380,100.6306
On Nut (Yellow),อ่อนนุช,MRT Yellow Line,13.7060,100.6015
Phra Ram 9 (Yellow),พระราม 9,MRT Yellow Line,13.7509,100.5655
Lat Phrao-Wang Hin,ลาดพร้าว-วังหิน,MRT Yellow Line,13.8052,100.5985
Phatthanakan,พัฒนาการ,MRT Yellow Line,13.7386,100.6346
Srinagarindra-Mochit,ศรีนครินทร์ โมซิต,MRT Yellow Line,13.7350,100.6450
Suan Luang Rama 9,สวนหลวง ร.9,MRT Yellow Line,13.7167,100.6335
Si Phet,ศรีเพชร,MRT Yellow Line,13.7195,100.6365
Samrong (Yellow),สำโรง,MRT Yellow Line,13.6521,100.6332
Lat Phrao 83,ลาดพร้าว 83,MRT Yellow Line,13.7969,100.5911
Lat Phrao 71,ลาดพร้าว 71,MRT Yellow Line,13.7949,100.5856
Lat Phrao 48,ลาดพร้าว 48,MRT Yellow Line,13.7918,100.5798
Chokchai 4,โชคชัย 4,MRT Yellow Line,13.7877,100.5748
Phawana,ภาวนา,MRT Yellow Line,13.7781,100.5720
Lad Phrao Intersection,แยกลาดพร้าว,MRT Yellow Line,13.7884,100.5742
Chula-Samyan,จุฬา สามย่าน,MRT Yellow Line,13.7300,100.5245
Hualamphong (Yellow),หัวลำโพง,MRT Yellow Line,13.7381,100.5157
Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์,MRT Yellow Line,13.8477,100.5690
Srinagarindra (Correct),ศรีนครินทร์,MRT Yellow Line,13.7253,100.6492
Chalerm Ratchamongkhon (Yellow),เฉลิมราชมงคล,MRT Yellow Line,13.7195,100.6462
Makkasan,มักกะสัน,Airport Rail Link,13.7536,100.5624
Ratchaprarop,ราชปรารภ,Airport Rail Link,13.7563,100.5498
Phaya Thai (ARL),พญาไท,Airport Rail Link,13.7567,100.5345
Ramkhamhaeng,รามคำแหง,Airport Rail Link,13.7558,100.6168
Hua Mak (ARL),หัวหมาก,Airport Rail Link,13.7272,100.6218
Ban Thap Chang,บ้านทับช้าง,Airport Rail Link,13.7183,100.6527
Lat Krabang,ลาดกระบัง,Airport Rail Link,13.7213,100.7015
Suvarnabhumi,สุวรรณภูมิ,Airport Rail Link,13.6907,100.7501
Khlong San,คลองสาน,BTS Gold Line,13.7283,100.5085
Charoennakhon,เจริญนคร,BTS Gold Line,13.7234,100.5103
Krung Thon Buri (Gold),กรุงธนบุรี,BTS Gold Line,13.7268,100.5051
Prasat,ประสาท,MRT Pink Line,13.9259,100.6090
Min Buri (Pink),มีนบุรี,MRT Pink Line,13.8143,100.5238
Nopparat,นพรัตน์,MRT Pink Line,13.9193,100.5987
Ramindra 40,รามอินทรา 40,MRT Pink Line,13.9087,100.5865
Ramindra 3,รามอินทรา 3,MRT Pink Line,13.8880,100.5745
Saphan Mai,สะพานใหม่,MRT Pink Line,13.8967,100.5804
Watcharaphon,วัชรพล,MRT Pink Line,13.9025,100.5835
Lat Pla Khao,ลาดปลาเค้า,MRT Pink Line,13.8804,100.5701
Wong Sawang (Pink),วงศ์สว่าง,MRT Pink Line,13.8275,100.5219
Khae Rai,แคราย,MRT Pink Line,13.8491,100.5231
Pak Kret 30,ปากเกร็ด 30,MRT Pink Line,13.9013,100.5285
Royal Irrigation Department,กรมชลประทาน,MRT Pink Line,13.9058,100.5336
Government Complex Chaengwattana A,ศูนย์ราชการ แจ้งวัฒนะ A,MRT Pink Line,13.8843,100.5544
Government Complex Chaengwattana B,ศูนย์ราชการ แจ้งวัฒนะ B,MRT Pink Line,13.8884,100.5578
Chaengwattana-Pakkret 28,แจ้งวัฒนะ-ปากเกร็ด 28,MRT Pink Line,13.8957,100.5643
Si Rat (Pink),ศิริราช,MRT Pink Line,13.8913,100.5710
Lak Si,หลักสี่,MRT Pink Line,13.8787,100.5661
Ram Inthra-At Narong,รามอินทรา-อาตนารอง,MRT Pink Line,13.8631,100.5609
Bang Bua,บางบัว,MRT Pink Line,13.8685,100.5632
Muang Thong Thani (Pink),เมืองทองธานี,MRT Pink Line,13.9151,100.5512
Future Park Rangsit,ฟิวเจอร์พาร์ค รังสิต,MRT Pink Line,13.9291,100.5924
Si Samrong,ศรีสำโรง,MRT Yellow Line,13.6446,100.6401
Thipphawan,ทิพวัล,MRT Yellow Line,13.6368,100.6452
Eastern Outer Ring Road,ถนนวงแหวนรอบนอกด้านตะวันออก,MRT Yellow Line,13.6296,100.6508
Bearing (Yellow),แบริ่ง,MRT Yellow Line,13.6625,100.6271
Samrong (Yellow Line),สำโรง สายสีเหลือง,MRT Yellow Line,13.6521,100.6345
